theme,abnormality,fiedler_today,fiedler_baseline,fiedler_change,pct_change,num_stocks,stock_list
탈모 치료,"LARGE_DECREASE, DISCONNECTION",0.0,11.192308645556274,-11.192308645556274,-100.0,22,"JW신약, TS트릴리온, 강스템바이오텍, 대웅, 대웅제약, 메타랩스, 바이오니아, 보령, 신신제약, 안트로젠"
코로나19(치료제/백신 개발 등),"LARGE_DECREASE, DISCONNECTION",0.0,18.382340759646294,-18.382340759646294,-100.0,33,"JW중외제약, SK, SK바이오사이언스, 강스템바이오텍, 국전약품, 네이처셀, 리가켐바이오, 샤페론, 셀리드, 신풍"
황사/미세먼지,"LARGE_DECREASE, DISCONNECTION",0.0,13.030376680339645,-13.030376680339645,-100.0,28,"JW중외제약, 국제약품, 나노, 누리플랜, 롯데하이마트, 모나리자, 보령, 삼일, 삼일제약, 상아프론테크"
마스크,"LARGE_DECREASE, DISCONNECTION",0.0,11.603073711277656,-11.603073711277656,-100.0,24,"JW중외제약, 국제약품, 깨끗한나라, 녹십자, 녹십자엠에스, 동국제약, 동양, 디케이앤디, 레몬, 메디앙스"
전선,LARGE_DECREASE,0.9408539117133397,3.686356555766476,-2.7455026440531363,-74.47740343397913,9,"KBI메탈, LS, LS마린솔루션, LS에코에너지, 가온전선, 대원, 대원전선, 대한전선, 일진전기"
카카오뱅크(kakao BANK),"LARGE_DECREASE, DISCONNECTION",0.0,3.721530206489134,-3.721530206489134,-100.0,11,"KB금융, 드림시큐리티, 알서포트, 엑셈, 예스24, 이니텍, 인포뱅크, 카카오, 카카오뱅크, 한국금융지주"
STO(토큰증권 발행),LARGE_DECREASE,0.9932512937972917,12.1493762205187,-11.156124926721409,-91.8246725118297,29,"KB금융, NH투자증권, SK, SK증권, 갤럭시아머니트리, 갤럭시아에스엠, 교보증권, 다날, 뱅크웨어글로벌, 서울옥션"
리모델링/인테리어,"LARGE_DECREASE, DISCONNECTION",0.0,11.375662891425394,-11.375662891425394,-100.0,25,"KCC, KCC글라스, LX하우시스, SUN&L, 국보디자인, 대림바스, 대림통상, 동화기업, 라이온켐텍, 벽산"
전자결제(전자화폐),"LARGE_DECREASE, DISCONNECTION",0.0,6.806093413955258,-6.806093413955258,-100.0,15,"KG모빌리언스, KG이니시스, NHN, NHN KCP, 갤럭시아머니트리, 다날, 빌리언스, 인포바인, 인포뱅크, 카카오"
핀테크(FinTech),"LARGE_DECREASE, DISCONNECTION",0.0,17.82502326403318,-17.82502326403318,-100.0,37,"KG모빌리언스, KG이니시스, KT, NAVER, NHN, NHN KCP, SG, SGA, SGA솔루션즈, SK"
모바일콘텐츠(스마트폰/태블릿PC),LARGE_DECREASE,0.8164448117804677,17.815368540315514,-16.998923728535047,-95.41718819943083,38,"KG모빌리언스, KT, KT밀리의서재, KT지니뮤직, NAVER, NHN, NHN벅스, SK, SK스퀘어, TJ미디어"
애플페이,"LARGE_DECREASE, DISCONNECTION",0.0,3.885092458523244,-3.885092458523244,-100.0,10,"KG모빌리언스, KG이니시스, NHN, NHN KCP, NICE, 나이스정보통신, 빌리언스, 엑스플러스, 이루온, 한국정보통신"
삼성페이,LARGE_DECREASE,0.0,7.0990225300427936e-15,-7.0990225300427936e-15,-100.0,28,"KG모빌리언스, KG이니시스, NHN, NHN KCP, 갤럭시아머니트리, 나이스정보통신, 다날, 드림시큐리티, 라온시큐어, 빌리언스"
철강 주요종목,"LARGE_DECREASE, DISCONNECTION",0.0,4.724095289427556,-4.724095289427556,-100.0,11,"KG스틸, POSCO홀딩스, 고려제강, 대한제강, 동국씨엠, 동국제강, 세아베스틸지주, 세아제강, 포스코스틸리온, 한국철강"
